% # columns="iteration, evaluation, void, void, void, xmean", seed=369511, Fri Dec 13 13:41:51 2019, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 -0.13159301219631317 -0.4736470423311894 0.5447637586626982 1.0406390024926553
2 16 0 0 0 0.023413976298381628 -0.5461913797010353 0.03642357713756861 0.8675849169825162
3 24 0 0 0 0.03756349407709673 -0.6078594936992779 -0.5820720152756266 0.9266043513117679
4 32 0 0 0 0.4777208484690122 -0.10143343725324716 -0.6629459619187138 0.43590291691143435
5 40 0 0 0 0.8893696271793271 -0.3087691891863985 -0.5424200102084437 0.07387699332879549
6 48 0 0 0 0.17478823144153022 -0.3454253284974082 -0.8452198598436673 0.26731106818213574
7 56 0 0 0 0.26177756394978247 -0.4790512821021973 -1.139352106229203 -0.036650842854689725
8 64 0 0 0 0.25266807275069975 -0.5299232947458832 -0.7863548655475394 -0.23905453171646232
9 72 0 0 0 -0.2371062306976645 -0.7927077998312421 -1.1133902901383486 -0.2650800294508604
10 80 0 0 0 -0.5805654426805079 -0.632338382787613 -1.8020733310996044 -0.11987085690696808
