% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=369511, Fri Dec 13 13:41:51 2019, <python>{}</python>
1 8 0.4959941990380698 1.0000375007031337 -1.9126130978705063 -1.9126130978705063e+00 100000.0 100000.0   
2 16 0.5297688810557815 1.4638450799127418 -4.300919549824486 -4.3009195498244859e+00 -2.0869599640223804 100000.0   
3 24 0.6020332153109477 1.5835180004875462 -6.973904939470165 -6.9739049394701649e+00 -2.381596558831287 -1.473458478635912   
4 32 0.7046622472372522 2.0894919196921307 -9.112381538832496 -9.1123815388324960e+00 -7.964097863552808 -4.932154186964151   
5 40 0.7915732685486652 2.2417926882366883 -10.879572825433248 -1.0879572825433248e+01 -6.811459347193078 100000.0   
6 48 0.6972008857271409 2.3773618353874895 -11.128213340434922 -1.1128213340434922e+01 100000.0 100000.0   
7 56 0.6202930525214924 2.2797456925291844 -11.85819235084398 -1.1858192350843980e+01 100000.0 100000.0   
8 64 0.546938061268445 2.1798045432332787 -11.85819235084398 -9.4168788853608607e+00 -5.728883108423536 100000.0   
9 72 0.5718810189365696 2.000995002389697 -11.85819235084398 -8.4865842868601469e+00 -4.726411386991215 100000.0   
10 80 0.6855654708617561 2.2353064757697387 -11.85819235084398 -9.8325438134333893e+00 -4.877267410046274 -3.087366967846313   
