% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=369511, Fri Dec 13 13:41:51 2019
1 8 -0.07122635422979195 -0.010865465081902306 0.021135554060894846 0.3157254950683877 1 1 1 1
2 16 -0.00016773136873390854 -0.00016773136873390854 0.03768995767110102 0.35213399467583784 1 1 1 1
3 24 -0.01033800077577885 -0.01033800077577885 0.04084309548793055 0.3572607217958088 1 1 1 1
4 32 -0.13061160289367948 -0.0001211400418740098 0.1324250724324832 0.3933278421453486 1 1 1 1
5 40 -0.2596210346511613 -0.06878463744662618 0.00026264032059560927 0.46173706268089115 1 1 1 1
6 48 -0.23971533036665119 -0.053490326622518125 0.07890591643296763 0.4045308690647607 1 1 1 1
7 56 -0.20269065622700935 -0.07600320082297912 0.05082039198637355 0.4166411265134295 1 1 1 1
8 64 -0.23299717804121534 -0.021707489264470727 0.1808099356910048 0.3981037325351149 1 1 1 1
9 72 -0.14320284842229056 -0.05678226634295887 0.33610835220971813 0.4716261265084552 1 1 1 1
10 80 -0.1591411634263737 -0.09072104356736096 0.39177230101135874 0.6492811433916224 1 1 1 1
