% # columns="iter, evals, sigma, 0, fitness, xbest" seed=369511, Fri Dec 13 13:41:51 2019, <python>{}</python>
1 8 0.4959941990380698 0 -1.9126130978705063 -0.07845889788251578 -0.5564885067240231 0.5348613380617668 0.877986267781751
2 16 0.5297688810557815 0 -4.300919549824486 -0.005817699009102589 -0.3804167869369861 -0.17513589317670641 1.1418045444557507
3 24 0.6020332153109477 0 -6.973904939470165 -0.0289071107378854 -1.0405126613462765 -0.9599660271124987 0.7546936448552864
4 32 0.7046622472372522 0 -9.112381538832496 0.46311135949508625 0.03885588118991434 -0.6174923664332815 0.11613683942333852
5 40 0.7915732685486652 0 -10.879572825433248 1.2139319932722907 -0.17426821974809617 -0.32042451334594774 0.222695638103512
6 48 0.6972008857271409 0 -11.128213340434922 0.07154919643296354 -0.6578878847174903 -1.6176222503181736 0.08182989525742446
7 56 0.6202930525214924 0 -11.85819235084398 0.36370034979858756 -0.76915407190091 -1.5226536041513987 0.03905950375745437
8 64 0.546938061268445 0 -9.41687888536086 0.6929898167764302 -0.47569816975082657 -0.5016343222117374 -0.170612832165226
9 72 0.5718810189365696 0 -8.486584286860147 -0.15402711121639406 -0.9663549558433393 -1.226033338019022 -0.3227209455921647
10 80 0.6855654708617561 0 -9.83254381343339 -0.4559280723011102 -0.38259929141951077 -1.7013768488202916 -0.23591387055787014
